camis,boro,critical_flag,cuisine_description,inspection_date,score,grade
41209994,Staten Island,Not Critical,Pizza,2014-04-24T00:00:00Z,20,B
50000800,Bronx,Critical,American,2016-07-11T00:00:00Z,11,A
41387458,Manhattan,Not Critical,American,2015-01-20T00:00:00Z,9,A
50017990,Brooklyn,Critical,American,2017-10-04T00:00:00Z,13,A
50014419,Brooklyn,Not Critical,American,2015-02-17T00:00:00Z,2,A
50056677,Manhattan,Not Critical,Cafe/coffee/Tea,2017-01-06T00:00:00Z,3,A
50052407,Manhattan,Critical,Pizza,2017-01-20T00:00:00Z,11,A
40577928,Manhattan,Critical,Japanese,2015-04-22T00:00:00Z,11,A
50044856,Brooklyn,Not Critical,American,2017-08-07T00:00:00Z,23,B
50007767,Queens,Not Critical,Japanese,2016-12-14T00:00:00Z,18,B
40523753,Queens,Not Critical,Delicatessen,2015-10-05T00:00:00Z,9,A
41012907,Manhattan,Critical,Mexican,2016-01-28T00:00:00Z,12,A
50053139,Queens,Critical,Italian,2016-10-18T00:00:00Z,11,A
50004862,Manhattan,Critical,Thai,2017-07-10T00:00:00Z,12,A
50009004,Queens,Not Critical,Delicatessen,2017-06-22T00:00:00Z,7,A
50008453,Queens,Not Critical,"Ice Cream, Gelato, Yogurt, Ices",2017-05-22T00:00:00Z,2,A
40402333,Queens,Not Critical,American,2015-08-05T00:00:00Z,10,A
41699269,Manhattan,Not Critical,American,2016-04-14T00:00:00Z,4,A
41631052,Brooklyn,Critical,American,2016-08-15T00:00:00Z,15,B
40378190,Queens,Critical,Japanese,2014-01-09T00:00:00Z,10,A
41519688,Manhattan,Not Critical,American,2016-05-13T00:00:00Z,13,A
40394916,Brooklyn,Not Critical,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",2016-03-01T00:00:00Z,6,A
40391121,Manhattan,Critical,Pizza,2015-07-09T00:00:00Z,16,B
41309763,Manhattan,Not Critical,American,2013-10-29T00:00:00Z,10,A
41531073,Brooklyn,Critical,Spanish,2017-01-27T00:00:00Z,37,C
41358451,Bronx,Not Critical,Delicatessen,2016-07-01T00:00:00Z,12,A
41243506,Brooklyn,Critical,Cafe/coffee/Tea,2017-04-26T00:00:00Z,11,A
41566063,Manhattan,Not Critical,German,2015-06-02T00:00:00Z,12,A
40803550,Manhattan,Critical,American,2016-10-24T00:00:00Z,9,A
50033364,Manhattan,Critical,Tex-Mex,2015-05-06T00:00:00Z,22,B
50015968,Brooklyn,Critical,American,2016-02-06T00:00:00Z,11,A
41645581,Manhattan,Critical,Japanese,2017-07-05T00:00:00Z,12,A
50064590,Manhattan,Not Critical,American,2017-08-28T00:00:00Z,30,C
41598066,Manhattan,Critical,Korean,2014-05-13T00:00:00Z,45,C
